run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,70.0,0.0,4,4,21994796.138788182,20565692.625499967,21918423.88208509,22009740.409384143,14944.270595960319,22007678.041177873,12881.90238969028,76372.25670309365,0.3472287545707683
1,70.0,0.0,4,4,21288811.746889316,20565692.625499967,21204674.833228648,21308495.376918897,19683.630029581487,21308774.696617667,19962.949728351086,84136.91366066784,0.39521657977440555
2,70.0,0.0,4,4,21399950.47337651,20565692.625499967,21282190.18956574,21417617.48132176,17667.00794525072,21415943.456476774,15992.983100265265,117760.28381076828,0.5502829735857231
3,70.0,0.0,4,4,20240579.37473343,20565692.625499967,20139996.205220163,20260521.05329577,19941.678562339395,20261425.80422798,20846.429494552314,100583.16951326653,0.49693819357179947
4,70.0,0.0,4,4,22228476.48869221,20565692.625499967,22117843.78320526,22249097.93543346,20621.446741249412,22250100.00853593,21623.5198437199,110632.70548694953,0.49770709901431714
5,70.0,0.0,4,4,22111745.650188684,20565692.625499967,22007416.662908323,22123890.579807267,12144.92961858213,22123890.579807203,12144.9296185188,104328.98728036135,0.47182610062028774
6,70.0,0.0,4,4,21433356.966689665,20565692.625499967,21349051.78489472,21459170.03006091,25813.063371244818,21459758.202840626,26401.23615096137,84305.18179494515,0.39333633982752586
7,70.0,0.0,4,4,21745162.001539998,20565692.625499967,21632715.48212957,21764054.727322064,18892.725782066584,21761637.75566134,16475.75412134081,112446.51941042766,0.5171105159044764
8,70.0,0.0,4,4,21488982.164067842,20565692.625499967,21445801.02984792,21512326.25800109,23344.09393324703,21506326.55004432,17344.385976478457,43181.134219922125,0.20094546074930514
9,70.0,0.0,4,4,21789884.365758054,20565692.625499967,21713636.06688802,21797394.948707726,7510.582949671894,21799176.184192874,9291.81843481958,76248.29887003452,0.3499252111216144
